ID;Название;Бренд;Цена со скидкой;Цена без скидки;Рейтинг;Количество отзывов;Ссылка
37252633;Моющее средство Лайна-МС. 0,5 л;Лайна;;1375.0;4.9;1418;https://www.wildberries.ru/catalog/37252633/detail.aspx
182937709;Шампунь для собак гипоаллергенный с пантенолом, 500 мл;Spets;;927.0;4.9;7642;https://www.wildberries.ru/catalog/182937709/detail.aspx
1003683197;Вертлюг карабин для собак;;;800.0;5;44;https://www.wildberries.ru/catalog/1003683197/detail.aspx
843676763;баранов стрижка;;;25000.0;4.9;33;https://www.wildberries.ru/catalog/843676763/detail.aspx
165083573;Машинка для стрижки собак кошек животных Груминг и уход;KidSSMART;;9890.0;4.9;910;https://www.wildberries.ru/catalog/165083573/detail.aspx
342791480;Мазь лечебная для животных;YOGGO;;5000.0;4.9;86;https://www.wildberries.ru/catalog/342791480/detail.aspx
169581561;Расческа для кошек и собак;MYRICH;;1670.0;4.9;4680;https://www.wildberries.ru/catalog/169581561/detail.aspx
10942219;Мясокостная мука кормовая добавка для животных 600 г 126;Ваше хозяйство.;;166.0;4.9;2314;https://www.wildberries.ru/catalog/10942219/detail.aspx
8711642;Гель двойного действия охлаждающе-разогревающий 500 мл;veda;;1110.0;4.9;2044;https://www.wildberries.ru/catalog/8711642/detail.aspx
721059470;Расческа для собак гладкошерстных, скребница;CanisCattus;;1040.0;4.9;349;https://www.wildberries.ru/catalog/721059470/detail.aspx
17015955;Вертлюг петля-петля, 8 мм, оцинкованный 1 шт;Tundra;;704.0;4.9;160;https://www.wildberries.ru/catalog/17015955/detail.aspx
7535544;Пуходерка расческа щетка чесалка для груминга и вычесывания;Hello Pet;;1536.0;4.9;368;https://www.wildberries.ru/catalog/7535544/detail.aspx
50412711;Сироп дьявольский коготь для лошади 1 л;ВКОНЯКОРМ;;1550.0;5;103;https://www.wildberries.ru/catalog/50412711/detail.aspx
183259732;Гель охлаждающе-разогревающий с камфорой и ментолом 250 мл;veda;;817.0;4.9;1583;https://www.wildberries.ru/catalog/183259732/detail.aspx
221885926;Комплект электропастуха 1000м для КРС и лошадей 2Дж;DOLLY;;31000.0;4.8;211;https://www.wildberries.ru/catalog/221885926/detail.aspx
41561782;Массажная щетка для мытья собак и кошек;МявТяв;;289.0;4.8;1984;https://www.wildberries.ru/catalog/41561782/detail.aspx
11353445;Воск-кондиционер для обработки седел, 250 мл;veda;;500.0;5;586;https://www.wildberries.ru/catalog/11353445/detail.aspx
73177825;Рекаверигель;Recoverygel;;1800.0;5;1097;https://www.wildberries.ru/catalog/73177825/detail.aspx
895168664;Юбка кинолога для дрессировки собак;Lucky Puppy;;5100.0;4.9;511;https://www.wildberries.ru/catalog/895168664/detail.aspx
431317903;Глина для лошадей с бишофитом голубая, 1,5кг + 0,2кг;Эл'лива;;1100.0;4.9;26;https://www.wildberries.ru/catalog/431317903/detail.aspx
173290086;Расческа для собак гладкошерстных двухсторонняя;Alikasar;;1575.0;4.9;1480;https://www.wildberries.ru/catalog/173290086/detail.aspx
158405914;Лосьон для складок у собак и кожи сфинксов Sensitive skin;SILVERIA;;1545.0;4.8;289;https://www.wildberries.ru/catalog/158405914/detail.aspx
132146256;Лососевое масло для собак и кошек, рыбий жир 1л;HOWL;;1285.0;4.8;906;https://www.wildberries.ru/catalog/132146256/detail.aspx
11353446;Мыло седельное для ухода за кожаной амуницией, 250 мл;veda;;430.0;4.9;1158;https://www.wildberries.ru/catalog/11353446/detail.aspx
273831299;Расческа для кошек и собак;STARDA ZOO;;900.0;4.9;6190;https://www.wildberries.ru/catalog/273831299/detail.aspx
179722232;Сумочка силиконовая для лакомств на ремне;Stefan;;2798.0;5;66;https://www.wildberries.ru/catalog/179722232/detail.aspx
144249972;Омега Стандарт для стрижки овец и баранов;Verified;;20700.0;4.7;718;https://www.wildberries.ru/catalog/144249972/detail.aspx
4793013;Спрей от колтунов для собак и кошек профессиональный 310 мл;Conflate;;3910.0;4.7;3499;https://www.wildberries.ru/catalog/4793013/detail.aspx
299369923;Расческа для кошек и собак;STARDA ZOO;;900.0;4.9;6187;https://www.wildberries.ru/catalog/299369923/detail.aspx
50414623;Соль-лизунец гималайская для животных 3-4 кг;Sweethorse;;1500.0;5;846;https://www.wildberries.ru/catalog/50414623/detail.aspx
183688983;Шампунь-бальзам восстанавливающий с дегтем, прополисом 500мл;veda;;608.0;4.9;908;https://www.wildberries.ru/catalog/183688983/detail.aspx
8711647;Шампунь-бальзам восстанавливающий с дегтем, прополисом 500мл;veda;;578.0;4.8;1268;https://www.wildberries.ru/catalog/8711647/detail.aspx
7535550;Пуходерка расческа щетка чесалка для груминга и вычесывания;Hello Pet;;2233.0;4.9;352;https://www.wildberries.ru/catalog/7535550/detail.aspx
285537941;Ошейник для КРС, лошадей, телят,коров, быков 100 см;HitZen;;1541.0;5;1169;https://www.wildberries.ru/catalog/285537941/detail.aspx
262927213;Чесалка для кошек щетка для собак от шерсти вычесыватель;PETSROOM;;499.0;4.9;416;https://www.wildberries.ru/catalog/262927213/detail.aspx
527974912;Электростатическая перчатка щетка для удаления шерсти 2 в 1;;;880.0;4.8;138;https://www.wildberries.ru/catalog/527974912/detail.aspx
328000890;Мастисепт Актив мазь с прополисом для ветиренарии, 150гр;Асконт+;;2613.0;4.8;120;https://www.wildberries.ru/catalog/328000890/detail.aspx
180878578;Бинт самофиксирующийся когезивный;Master Opt;;838.0;4.9;1430;https://www.wildberries.ru/catalog/180878578/detail.aspx
9128513;Гель охлаждающий антитравматический с ментолом, 500 мл;veda;;953.0;4.9;1779;https://www.wildberries.ru/catalog/9128513/detail.aspx
8711646;Крем-бальзам для суставов с глюкозамином, хондроитином 500мл;veda;;1110.0;5;902;https://www.wildberries.ru/catalog/8711646/detail.aspx
184053887;Гипоаллергенный шампунь-кондиционер с кератином 500 мл;veda;;608.0;5;184;https://www.wildberries.ru/catalog/184053887/detail.aspx
231401097;Нож для обработки копыт, копытный обоюдоострый;wikiLAB;;840.0;4.6;184;https://www.wildberries.ru/catalog/231401097/detail.aspx
215295891;Пробиотик GastroPro для лошадей, 800г;Horse-Bio;;1600.0;5;63;https://www.wildberries.ru/catalog/215295891/detail.aspx
938403390;Перчатка для вычесывания шерсти собак и кошек;Radiant sun;;160.0;4.8;208;https://www.wildberries.ru/catalog/938403390/detail.aspx
77259893;Кормовая добавка для животных и птиц Биовит-С, 450 г;МИРАГРО;;1103.0;4.9;91;https://www.wildberries.ru/catalog/77259893/detail.aspx
158397045;Спрей при чихании от насморка при простуде PROTECTIVE;SILVERIA;;1540.0;4.8;311;https://www.wildberries.ru/catalog/158397045/detail.aspx
362228969;Скребница для животных, металлическая расческа;wikiLAB;;750.0;5;102;https://www.wildberries.ru/catalog/362228969/detail.aspx
291118723;ветеринарный шприц вакцинатор для животных 0,5-5 мл;;;3800.0;4.9;26;https://www.wildberries.ru/catalog/291118723/detail.aspx
11887214;Крем-бальзам для суставов с глюкозамином, хондроитином 100мл;veda;;370.0;4.9;594;https://www.wildberries.ru/catalog/11887214/detail.aspx
8711650;Шампунь-кондиционер для гривы и хвоста ЗооVIP, 500 мл;veda;;578.0;4.9;994;https://www.wildberries.ru/catalog/8711650/detail.aspx
183680535;Крем-бальзам для суставов с глюкозамином, хондроитином 100мл;veda;;377.0;4.9;551;https://www.wildberries.ru/catalog/183680535/detail.aspx
166732420;Сено луговое разнотравье;KOSHARIKOFF;;849.0;4.8;1615;https://www.wildberries.ru/catalog/166732420/detail.aspx
859473887;Краска для шерсти животных, красная;;;2349.0;5;1;https://www.wildberries.ru/catalog/859473887/detail.aspx
216063296;Массажная щетка для мытья собак и кошек;Ell.SHOP;;480.0;4.8;637;https://www.wildberries.ru/catalog/216063296/detail.aspx
330530553;Генератор импульсов электропастух для коров, овец, крс, коз;gentle;;35868.0;4.7;64;https://www.wildberries.ru/catalog/330530553/detail.aspx
406294149;Машинка для стрижки овец и баранов;;;16070.0;4.7;44;https://www.wildberries.ru/catalog/406294149/detail.aspx
